airport,is_major,region,country,city,airline_code,airline,weekly_flights,season,source,updated_at
新千歳,0,アジア,タイ,バンコク,TG,タイ国際航空,7.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,韓国,ソウル,7C,済州航空,14.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,韓国,ソウル,KE,大韓航空,7.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,韓国,ソウル,LJ,ジンエアー,7.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,韓国,ソウル,TW,ティーウェイ航空,7.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,韓国,ソウル,OZ,アシアナ航空,4.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,韓国,釜山,BX,エアプサン,3.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,香港,香港,CX,キャセイパシフィック航空,5.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,香港,香港,HX,香港航空,3.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,台湾,台北,BR,エバー航空,7.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,台湾,台北,CI,チャイナエアライン,7.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,台湾,台北,IT,タイガーエア台湾,7.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
新千歳,0,アジア,台湾,台北,JX,スターラックス航空,7.0,2023夏ダイヤ,国土交通省 航空局 国際線就航状況 直行便データ,2026-06-28
