year,country,region,visitors,visitors_yoy,visitors_vs_2019,avg_nights,spend_per_capita,local_stay_share,repeat_rate,visit_score,stay_score,repeat_score,bottleneck_stage,source,updated_at
2025,韓国,東アジア,9459711,0.0728,0.6939,3.96,105058,0.588,83.73,45.1,29.2,90.5,滞在,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,中国,東アジア,9096455,0.303,-0.0519,9.07,246550,0.3794,55.99,18.4,34.9,52.5,来訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,台湾,東アジア,6763424,0.119,0.3829,6.49,184413,0.6467,87.91,31.6,44.6,96.3,来訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,米国,北米,3306823,0.2137,0.9183,12.02,339708,0.2687,36.8,63.5,40.2,26.1,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,香港,東アジア,2517402,-0.0619,0.0989,6.23,226011,0.588,90.63,8.3,45.0,100.0,来訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,タイ,東南アジア,1233103,0.0733,-0.0651,8.61,205246,0.4874,71.19,6.6,37.4,73.3,来訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,豪州,オセアニア,1058396,0.1502,0.7022,13.48,386512,0.3046,45.81,49.4,49.3,38.5,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,フィリピン,東南アジア,885023,0.0811,0.4435,15.45,187760,0.3318,64.67,32.8,29.8,64.4,滞在,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,シンガポール,東南アジア,726251,0.0507,0.4754,9.1,319901,0.4106,75.27,33.0,45.6,78.9,来訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,カナダ,北米,688021,0.1874,0.8334,14.56,322489,0.2679,37.77,57.9,40.2,27.5,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,ベトナム,東南アジア,678594,0.0924,0.3708,45.34,303379,0.4684,42.27,29.6,77.0,33.6,来訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,インドネシア,東南アジア,640577,0.2375,0.5519,15.32,205276,0.3077,52.81,46.0,30.0,48.1,滞在,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,マレーシア,東南アジア,636575,0.2559,0.2691,8.78,222322,0.4132,55.99,32.5,34.2,52.5,来訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,英国,欧州,535004,0.2236,0.261,14.45,391320,0.2773,37.87,30.5,48.7,27.6,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,フランス,欧州,457566,0.1883,0.3605,18.4,359868,0.3091,33.89,33.8,50.5,22.1,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,ドイツ,欧州,429479,0.3179,0.8156,17.97,392251,0.3167,34.69,63.3,54.5,23.2,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,インド,南アジア,315062,0.3518,0.7912,17.72,249807,0.2417,30.15,63.7,32.4,17.0,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,イタリア,欧州,309377,0.3464,0.9007,13.71,357002,0.2206,23.44,69.0,40.1,7.8,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,スペイン,欧州,245576,0.3472,0.8855,13.94,362767,0.2349,17.77,68.3,42.0,0.0,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
2025,ロシア,欧州,194908,0.9635,0.6237,11.86,307105,0.1778,28.72,85.0,29.8,15.0,再訪,"JNTO訪日外客統計 / 観光庁インバウンド消費動向調査(表4-1,表1-1) / 宿泊旅行統計",2026-06-14
