year,region,country,visitors,spend_per_capita_yen,total_consumption_yen,consumption_share_pct,consumption_rank,visitor_rank,spend_per_capita_rank,total_consumption_yoy,source,updated_at
2024,東アジア,中国,6981342,276604.4,1931069915105,25.02,1,2,11,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東アジア,台湾,6044316,187512.1,1133382386224,14.69,2,3,18,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東アジア,韓国,8817765,109102.8,962042851242,12.47,3,1,20,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,北米,米国,2724594,331976.2,904500362663,11.72,4,4,7,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東アジア,香港,2683391,248882.4,667848792218,8.65,5,5,12,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,オセアニア,豪州,920196,380492.2,350127400471,4.54,6,7,2,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東南アジア,タイ,1148848,197304.7,226673109986,2.94,7,6,17,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東南アジア,シンガポール,691226,291047.1,201179322745,2.61,8,9,10,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,北米,カナダ,579445,306272.4,177468010818,2.3,9,11,9,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,欧州,英国,437230,381318.0,166723669140,2.16,10,14,1,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東南アジア,フィリピン,818659,185518.5,151876389692,1.97,11,8,19,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,欧州,フランス,385071,360951.7,138992032071,1.8,12,15,4,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東南アジア,ベトナム,621173,221401.0,137528323373,1.78,13,10,14,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東南アジア,インドネシア,517651,215034.4,111312772194,1.44,14,12,16,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,東南アジア,マレーシア,506883,216437.5,109708489312,1.42,15,13,15,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,欧州,ドイツ,325870,333027.4,108523638838,1.41,16,16,6,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,欧州,イタリア,229785,358471.4,82371350649,1.07,17,18,5,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,欧州,スペイン,182284,368427.9,67158511324,0.87,18,19,3,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
2024,南アジア,インド,233061,241589.5,56305090460,0.73,19,17,13,,JNTO訪日外客統計 × 観光庁インバウンド消費動向調査(参考2),2026-06-14
