ym,region,country,visitors,visitors_yoy,visitors_vs_2019,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,guest_nights_vs_2019,updated_at
2019-01,集計,総数,2689339,,0.0,,,,,,2026-06-09 00:08:19
2019-02,集計,総数,2604322,,0.0,,,,,,2026-06-09 00:08:19
2019-03,集計,総数,2760136,,0.0,,,,,,2026-06-09 00:08:19
2019-04,集計,総数,2926685,,0.0,,,,,,2026-06-09 00:08:19
2019-05,集計,総数,2773091,,0.0,,,,,,2026-06-09 00:08:19
2019-06,集計,総数,2880041,,0.0,,,,,,2026-06-09 00:08:19
2019-07,集計,総数,2991189,,0.0,,,,,,2026-06-09 00:08:19
2019-08,集計,総数,2520134,,0.0,,,,,,2026-06-09 00:08:19
2019-09,集計,総数,2272883,,0.0,,,,,,2026-06-09 00:08:19
2019-10,集計,総数,2496568,,0.0,,,,,,2026-06-09 00:08:19
2019-11,集計,総数,2441274,,0.0,,,,,,2026-06-09 00:08:19
2019-12,集計,総数,2526387,,0.0,,,,,,2026-06-09 00:08:19
2019-01,集計,アジア計,2366944,,0.0,,,,,,2026-06-09 00:08:19
2019-02,集計,アジア計,2323258,,0.0,,,,,,2026-06-09 00:08:19
2019-03,集計,アジア計,2287450,,0.0,,,,,,2026-06-09 00:08:19
2019-04,集計,アジア計,2369734,,0.0,,,,,,2026-06-09 00:08:19
2019-05,集計,アジア計,2344872,,0.0,,,,,,2026-06-09 00:08:19
2019-06,集計,アジア計,2483217,,0.0,,,,,,2026-06-09 00:08:19
2019-07,集計,アジア計,2563058,,0.0,,,,,,2026-06-09 00:08:19
2019-08,集計,アジア計,2156004,,0.0,,,,,,2026-06-09 00:08:19
2019-09,集計,アジア計,1827278,,0.0,,,,,,2026-06-09 00:08:19
2019-10,集計,アジア計,1959436,,0.0,,,,,,2026-06-09 00:08:19
2019-11,集計,アジア計,2016676,,0.0,,,,,,2026-06-09 00:08:19
2019-12,集計,アジア計,2121351,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東アジア,韓国,779383,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東アジア,韓国,715804,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東アジア,韓国,585586,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東アジア,韓国,566624,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東アジア,韓国,603394,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東アジア,韓国,611867,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東アジア,韓国,561675,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東アジア,韓国,308730,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東アジア,韓国,201252,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東アジア,韓国,197281,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東アジア,韓国,205042,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東アジア,韓国,247959,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東アジア,中国,754421,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東アジア,中国,723617,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東アジア,中国,691279,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東アジア,中国,726132,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東アジア,中国,756365,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東アジア,中国,880651,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東アジア,中国,1050420,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東アジア,中国,1000639,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東アジア,中国,819054,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東アジア,中国,730631,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東アジア,中国,750951,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東アジア,中国,710234,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東アジア,台湾,387498,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東アジア,台湾,399829,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東アジア,台湾,402433,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東アジア,台湾,403467,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東アジア,台湾,426537,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東アジア,台湾,461085,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東アジア,台湾,459216,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東アジア,台湾,420279,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東アジア,台湾,376186,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東アジア,台湾,413701,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東アジア,台湾,392102,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東アジア,台湾,348269,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東アジア,香港,154292,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東アジア,香港,179324,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東アジア,香港,171430,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東アジア,香港,194806,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東アジア,香港,189007,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東アジア,香港,209030,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東アジア,香港,216810,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東アジア,香港,190260,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東アジア,香港,155927,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東アジア,香港,180562,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東アジア,香港,199702,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東アジア,香港,249642,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東南アジア,タイ,92649,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東南アジア,タイ,107845,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東南アジア,タイ,147443,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東南アジア,タイ,164817,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東南アジア,タイ,107857,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東南アジア,タイ,62984,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東南アジア,タイ,73202,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東南アジア,タイ,49589,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東南アジア,タイ,62057,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東南アジア,タイ,145333,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東南アジア,タイ,140265,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東南アジア,タイ,164936,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東南アジア,シンガポール,22676,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東南アジア,シンガポール,26102,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東南アジア,シンガポール,43687,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東南アジア,シンガポール,36704,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東南アジア,シンガポール,37650,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東南アジア,シンガポール,47264,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東南アジア,シンガポール,21716,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東南アジア,シンガポール,19698,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東南アジア,シンガポール,29147,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東南アジア,シンガポール,41937,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東南アジア,シンガポール,65295,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東南アジア,シンガポール,100376,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東南アジア,マレーシア,31399,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東南アジア,マレーシア,36660,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東南アジア,マレーシア,50615,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東南アジア,マレーシア,46092,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東南アジア,マレーシア,42629,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東南アジア,マレーシア,30534,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東南アジア,マレーシア,22957,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東南アジア,マレーシア,19827,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東南アジア,マレーシア,28778,,0.0,,,,,,2026-06-09 00:08:19
